"codigo_ocorrencia";"ocorrencia_classificacao";"ocorrencia_latitude";"ocorrencia_longitude";"ocorrencia_cidade";"ocorrencia_uf";"ocorrencia_pais";"ocorrencia_aerodromo";"ocorrencia_dia";"ocorrencia_hora";"investigacao_aeronave_liberada";"investigacao_status";"divulgacao_relatorio_numero";"divulgacao_relatorio_publicado";"divulgacao_dia_publicacao";"total_recomendacoes";"total_aeronaves_envolvidas";"ocorrencia_saida_pista";"Mes";"Dia_mes";"Semana_mes";"Dia_Semana";"Hora"
52699;"INCIDENTE";-15,8711111111;-47,9186111111;"BRASÍLIA";"DF";"BRASIL";"SBBR";2014-10-09;20:10:00;"";"FINALIZADA";"I-215/CENIPA/2014";"SIM";2015-03-06;5;1;"NÃO";10;9;2;5;20
52721;"INCIDENTE";NA;NA;"CRUZEIRO DO SUL";"AC";"BRASIL";"SBCZ";2014-10-09;14:40:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;9;2;5;14
52722;"INCIDENTE";NA;NA;"SANTARÉM";"PA";"BRASIL";"SBSN";2014-10-09;14:38:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;9;2;5;14
52635;"ACIDENTE";-19,8558333333;-44,3525;"JUATUBA";"MG";"BRASIL";"";2014-10-10;18:00:00;"SIM";"FINALIZADA";"A-170/CENIPA/2014";"SIM";2016-07-14;1;1;"NÃO";10;10;2;6;18
52723;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"";2014-10-10;10:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;10;2;6;10
52636;"ACIDENTE";-23,33194444;-47,88;"TATUÍ";"SP";"BRASIL";"SDTF";2014-10-11;16:18:00;"";"FINALIZADA";"A-506/CENIPA/2020";"SIM";2020-10-29;2;1;"SIM";10;11;2;7;16
52724;"INCIDENTE";NA;NA;"CAMPINAS";"SP";"BRASIL";"";2014-10-14;14:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;14;2;3;14
52725;"INCIDENTE";NA;NA;"CARAUARI";"AM";"BRASIL";"SWCA";2014-10-14;19:20:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;14;2;3;19
52637;"ACIDENTE";-23,30111111;-47,69527778;"BOITUVA";"SP";"BRASIL";"SDOI";2014-10-16;20:30:00;"";"FINALIZADA";"A-507/CENIPA/2020";"SIM";2020-10-02;0;1;"NÃO";10;16;3;5;20
52726;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"SBRJ";2014-10-16;22:10:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;16;3;5;22
